id,source
1367974901,chloroplast Adiantum shastense
1241930129,chloroplast Christella appendiculata
1236178793,chloroplast Christella appendiculata
1236178171,chloroplast Ampelopteris prolifera
1236180477,chloroplast Pseudophegopteris aurita
1261343539,chloroplast Salvinia cucullata
1261343448,chloroplast Azolla filiculoides
1261343357,chloroplast Azolla caroliniana (mosquito fern)
1261343266,chloroplast Azolla caroliniana (mosquito fern)
1261343175,chloroplast Azolla rubra
1261343084,chloroplast Azolla nilotica
1261342993,chloroplast Azolla microphylla
1261342902,chloroplast Azolla mexicana
1241931635,chloroplast Woodsia polystichoides
1241931546,chloroplast Woodsia macrochlaena
1241931458,chloroplast Stegnogramma sagittifolia
1241931369,chloroplast Rhachidosorus consimilis
1241931280,chloroplast Pseudophegopteris aurita
1241931191,chloroplast Onoclea sensibilis
1241931102,chloroplast Matteuccia struthiopteris (ostrich fern)
1241931013,chloroplast Macrothelypteris torresiana
1241930925,chloroplast Hymenasplenium unilaterale
1241930836,chloroplast Homalosorus pycnocarpos
1241930747,chloroplast Dryopteris decipiens
1241930663,chloroplast Diplazium unilobum
1241930574,chloroplast Diplazium dilatatum
1241930485,chloroplast Diplazium bellum
1241930396,chloroplast Diplaziopsis javanica
1241930307,chloroplast Deparia lancea
1241930218,chloroplast Cystopteris chinensis
1241930040,chloroplast Athyrium opacum
1241929952,chloroplast Asplenium prolongatum
1241929863,chloroplast Asplenium pekinense
1241929774,chloroplast Athyrium sheareri
1241929685,chloroplast Ampelopteris prolifera
1241928872,chloroplast Schizaea pectinata
1241928788,chloroplast Schizaea elegans
1241922869,chloroplast Hypodematium crenatum
1241922780,chloroplast Diplazium striatum
1241922691,chloroplast Diplazium dushanense
1241922603,chloroplast Diplaziopsis cavaleriana
1241922514,chloroplast Deparia viridifrons
1241922425,chloroplast Deparia pycnosora
1241922336,chloroplast Austroblechnum melanocaulon
1241922247,chloroplast Athyrium sinense
1238821811,chloroplast Lepisorus clathratus
1238821723,chloroplast Athyrium anisopterum
1236180832,chloroplast Woodsia polystichoides
1236180743,chloroplast Woodsia macrochlaena
1236180655,chloroplast Stegnogramma sagittifolia
1236180566,chloroplast Rhachidosorus consimilis
1236180388,chloroplast Onoclea sensibilis
1236180299,chloroplast Matteuccia struthiopteris (ostrich fern)
1236180210,chloroplast Macrothelypteris torresiana
1236180121,chloroplast Hypodematium crenatum
1236180033,chloroplast Hymenasplenium unilaterale
1236179944,chloroplast Homalosorus pycnocarpos
1236179855,chloroplast Dryopteris decipiens
1236179771,chloroplast Diplazium unilobum
1236179682,chloroplast Diplazium striatum
1236179593,chloroplast Diplazium dushanense
1236179504,chloroplast Diplazium dilatatum
1236179415,chloroplast Diplazium bellum
1236179326,chloroplast Diplaziopsis javanica
1236179238,chloroplast Diplaziopsis cavaleriana
1236179149,chloroplast Deparia viridifrons
1236179060,chloroplast Deparia pycnosora
1236178971,chloroplast Deparia lancea
1236178882,chloroplast Cystopteris chinensis
1236178704,chloroplast Athyrium opacum
1236178615,chloroplast Austroblechnum melanocaulon
1236178526,chloroplast Athyrium sinense
1236178438,chloroplast Asplenium prolongatum
1236178349,chloroplast Asplenium pekinense
1236178260,chloroplast Athyrium sheareri
1129604640,chloroplast Schizaea pectinata
1129604556,chloroplast Schizaea elegans
1227542444,chloroplast Lepisorus clathratus
1227542356,chloroplast Athyrium anisopterum
1177818041,chloroplast Aglaomorpha fortunei
1078191322,chloroplast Actinostachys pennula
1131389821,chloroplast Dryopteris fragrans
1104323252,chloroplast Helminthostachys zeylanica (kamraj)
1104323250,chloroplast Botrychium ternatum
755161331,plastid Mankyua chejuensis
633674877,plastid Tmesipteris elongata
359751518,plastid Equisetum arvense (field horsetail)
302375416,chloroplast Myriopteris lindheimeri
301016249,chloroplast Pteridium aquilinum subsp. aquilinum
295791998,chloroplast Lygodium japonicum
295791992,chloroplast Dicksonia antarctica
295791981,chloroplast Marsilea mutica
295791971,chloroplast Vandenboschia radicans
295791960,chloroplast Osmundastrum cinnamomeum (cinnamon fern)
295791949,chloroplast Gleichenia japonica
218454801,chloroplast Alsophila spinulosa
633674828,plastid Dicksonia squarrosa
110628278,chloroplast Angiopteris evecta
966201822,chloroplast Cyrtomium falcatum
959123350,chloroplast Woodwardia unigemmata
