"","species","accessions","urls"
"1435280168","Lygodium microphyllum","MG761729","https://www.ncbi.nlm.nih.gov/nuccore/MG761729"
"1405681236","Alsophila podophylla","MG262389","https://www.ncbi.nlm.nih.gov/nuccore/MG262389"
"1390379551","American pillwort","KY863504","https://www.ncbi.nlm.nih.gov/nuccore/KY863504"
"1389618144","Dryopteris fragrans","KX418656","https://www.ncbi.nlm.nih.gov/nuccore/KX418656"
"1386810703","Cibotium barometz","MH105066","https://www.ncbi.nlm.nih.gov/nuccore/MH105066"
"1384011149","Odontosoria chinensis","MG913608","https://www.ncbi.nlm.nih.gov/nuccore/MG913608"
"1375964283","Cyrtomium fortunei","MG913607","https://www.ncbi.nlm.nih.gov/nuccore/MG913607"
"1367974901","Adiantum shastense","MG432483","https://www.ncbi.nlm.nih.gov/nuccore/MG432483"
"1236178793","Christella appendiculata","KY427336","https://www.ncbi.nlm.nih.gov/nuccore/KY427336"
"1236178171","Ampelopteris prolifera","KY427329","https://www.ncbi.nlm.nih.gov/nuccore/KY427329"
"1236180477","Pseudophegopteris aurita","KY427355","https://www.ncbi.nlm.nih.gov/nuccore/KY427355"
"1261343539","Salvinia cucullata","MF177095","https://www.ncbi.nlm.nih.gov/nuccore/MF177095"
"1261343448","Azolla filiculoides","MF177094","https://www.ncbi.nlm.nih.gov/nuccore/MF177094"
"1261343357","mosquito fern","MF177093","https://www.ncbi.nlm.nih.gov/nuccore/MF177093"
"1261343266","mosquito fern","MF177092","https://www.ncbi.nlm.nih.gov/nuccore/MF177092"
"1261343175","Azolla rubra","MF177091","https://www.ncbi.nlm.nih.gov/nuccore/MF177091"
"1261343084","Azolla nilotica","MF177090","https://www.ncbi.nlm.nih.gov/nuccore/MF177090"
"1261342993","Azolla microphylla","MF177089","https://www.ncbi.nlm.nih.gov/nuccore/MF177089"
"1261342902","Azolla mexicana","MF177088","https://www.ncbi.nlm.nih.gov/nuccore/MF177088"
"1236180832","Woodsia polystichoides","KY427359","https://www.ncbi.nlm.nih.gov/nuccore/KY427359"
"1236180743","Woodsia macrochlaena","KY427358","https://www.ncbi.nlm.nih.gov/nuccore/KY427358"
"1236180655","Stegnogramma sagittifolia","KY427357","https://www.ncbi.nlm.nih.gov/nuccore/KY427357"
"1236180566","Rhachidosorus consimilis","KY427356","https://www.ncbi.nlm.nih.gov/nuccore/KY427356"
"1236180388","Onoclea sensibilis","KY427354","https://www.ncbi.nlm.nih.gov/nuccore/KY427354"
"1236180299","ostrich fern","KY427353","https://www.ncbi.nlm.nih.gov/nuccore/KY427353"
"1236180210","Macrothelypteris torresiana","KY427352","https://www.ncbi.nlm.nih.gov/nuccore/KY427352"
"1236180121","Hypodematium crenatum","KY427351","https://www.ncbi.nlm.nih.gov/nuccore/KY427351"
"1236180033","Hymenasplenium unilaterale","KY427350","https://www.ncbi.nlm.nih.gov/nuccore/KY427350"
