,species,accessions,
1435280168,Lygodium microphyllum,MG761729,
1436053678,Alsophila podophylla,NC_038150,
1381391452,Adiantum shastense,NC_037478,
1418581563,Cibotium barometz,NC_037893,
1405681236,Alsophila podophylla,MG262389,
1390379551,American pillwort (Pilularia americana),KY863504,
1389618144,Dryopteris fragrans,KX418656,
1386810703,Cibotium barometz,MH105066,
1384011149,Odontosoria chinensis,MG913608,
1381394118,Cyrtomium fortunei,NC_037510,
1375964283,Cyrtomium fortunei,MG913607,
1367974901,Adiantum shastense,MG432483,
1241930129,Christella appendiculata,NC_035842,
1236178793,Christella appendiculata,KY427336,
1236178171,Ampelopteris prolifera,KY427329,
1236180477,Pseudophegopteris aurita,KY427355,
1261343539,Salvinia cucullata,MF177095,
1261343448,Azolla filiculoides,MF177094,
1261343357,mosquito fern (Azolla caroliniana),MF177093,
1261343266,mosquito fern (Azolla caroliniana),MF177092,
1261343175,Azolla rubra,MF177091,
1261343084,Azolla nilotica,MF177090,
1261342993,Azolla microphylla,MF177089,
1261342902,Azolla mexicana,MF177088,
1241931635,Woodsia polystichoides,NC_035865,
1241931546,Woodsia macrochlaena,NC_035864,
1241931458,Stegnogramma sagittifolia,NC_035863,
1241931369,Rhachidosorus consimilis,NC_035862,
1241931280,Pseudophegopteris aurita,NC_035861,
1241931191,Onoclea sensibilis,NC_035860,
1241931102,ostrich fern (Matteuccia struthiopteris),NC_035859,
1241931013,Macrothelypteris torresiana,NC_035858,
1241930925,Hymenasplenium unilaterale,NC_035856,
1241930836,Homalosorus pycnocarpos,NC_035855,
1241930747,Dryopteris decipiens,NC_035854,
1241930663,Diplazium unilobum,NC_035853,
1241930574,Diplazium dilatatum,NC_035850,
1241930485,Diplazium bellum,NC_035849,
1241930396,Diplaziopsis javanica,NC_035848,
1241930307,Deparia lancea,NC_035844,
1241930218,Cystopteris chinensis,NC_035843,
1241930040,Athyrium opacum,NC_035841,
1241929952,Asplenium prolongatum,NC_035838,
1241929863,Asplenium pekinense,NC_035837,
1241929774,Athyrium sheareri,NC_035836,
1241929685,Ampelopteris prolifera,NC_035835,
1241928872,Schizaea pectinata,NC_035808,
1241928788,Schizaea elegans,NC_035807,
1241922869,Hypodematium crenatum,NC_035857,
1241922780,Diplazium striatum,NC_035852,
